lat,lon
-36.305280956941196,150.10322950666318
-33.99198164366264,118.664089138122
-23.835353942866544,116.50473162312333
-22.396491045490393,145.9715406997846
-31.56376513155631,126.02041139720498
-26.628357254567405,136.40127725599424
-20.860267173907374,137.39900731187558
-36.95152079834595,148.65838449526365
-30.7722647137482,120.90796287807352
-21.901631779644024,135.1658608991051
-16.642738743395157,137.2794827212286
-30.284841632380683,135.73327542562456
-13.3932338177361,131.84035966574584
-17.4618957214289,141.94750392543668
-22.416227708002147,118.75242090579643
-32.900197940146505,143.44988813400548
-27.135073807513066,145.00183806794254
-27.412475320415435,143.56178296099702
-21.47182764096591,144.2266736855428
-29.94272337107505,123.16904532180615
-21.500842632732805,146.68977631655818
-28.49685549457761,144.4788082338216
-22.121993471410864,136.78539918884368
-23.378088731976515,144.4099756438686
-26.987852754895197,115.12798319352129
-30.832280762635428,129.27930355143994
-24.236196384878795,121.4511791069857
-31.167886852684013,148.61382121823488
-11.765036121542543,133.0567744509807
-34.53413329963587,116.12265980887607
-31.106967133888922,137.2717191074828
-19.916582465990665,142.92146044922123
-21.79947413032552,143.79077773531995
-33.86739920433044,148.4016438527803
-30.718279087065113,146.82502652305524
-26.18354760417113,116.28569875733047
-22.660987946535307,136.76611885198164
-16.678221266564613,122.85568968150838
-25.240882972339868,136.72508188515638
-22.709016711654783,147.518133581241
-31.25607099203483,124.36804867974472
-31.885743216195944,139.90978665923754
-26.07652743298414,128.71936363197392
-15.017979098583805,144.8411295640178
-32.800921788137614,141.45822284468824
-20.474038602838853,124.08319987144992
-34.44443744734854,147.62235144363217
-24.471804435381436,139.27610250564544
-34.24722756826236,142.08549797151935
-18.68699558318008,133.0564380285401
-28.207229631084314,146.8140702403952
-28.15262245160622,125.28795165154919
-28.46887431257,137.84491488124348
-30.056362864160093,143.56864153005378
-19.663044242264373,131.64153610842013
-23.21126489041154,118.91585215770947
-20.30750930447261,140.92452899959378
-27.499803658998125,138.86226742640955
-28.37993876523109,145.44215726574623
-15.780159222788448,141.9243514486732
-20.086252138515018,144.29970364982927
